1,1,1,いっきょい,本気で,たくさん,すこし,とても,4,解説　いっきょいには、とてもという意味があります。
2,1,2,きばる,がんばる,怠ける,家に帰る,ふんばる,1,解説　きばるには、頑張るという意味があります。
3,1,3,しちみんね,うざい,遊ぶ,やってみて,七味ほしい,3,解説　しちみんねには、やってみてという意味があります。
4,2,1,せからしか,背中かゆい,こんばんは,うるさい,うしろめたい,3,解説　せからしかには、うるさいという意味があります。
5,2,2,おし,あなた,推し,犬,おにぎり,1,解説　おしには、あなたという意味があります。
6,2,3,うぜらしか（うじぇらしか）,キモイ,うっとうしい,いい気持ち,喜び,2,解説　うぜらしか（うじぇらしか）には、うっとうしいという意味があります。
7,3,1,いんげ、いんにゃ,ただいま,いんげん,陰キャ,いいえ,4,解説　いんげ、いんにゃには、いいえという意味があります。
8,3,2,いっつんかっつん,いつもいつも,一郎くん勝則くん,全然ない,ちょっとだけ,1,解説　いっつんかっつんには、いつもいつもという意味があります。
9,4,1,けねやね,遊ぶ,家族みんなで,雨漏り,いざこざ,2,解説　けねやねには、家族みんなでという意味があります。　
10,4,2,うてあう,虫を殺す,打つ,偶然会った,相手にする,4,解説　うてあうには、相手にするという意味があります。
11,4,3,たおす,タオル,こんにちは,倒す,なくす,4,解説　たおすには、なくすという意味があります。